Source,Target
跌打损伤,痧气腹胀疼痛
感冒咳嗽,蛇伤
耳焦,耳郭枯槁
粉刺,粉
跌打损伤,脾气滞
消化道出血,小便不利
跌打伤肿,腰痛
头项强痛,咽喉肿痛
胎漏,咯血
食少便溏,呕吐
肩部酸胀,肩
烧烫伤,风湿骨痛
小儿高热惊风,消化不良
丹毒,叶血
经色紫黯,经
眼睑闭合不全,闭目不全
胃出血,痛经
纳滞,纳少
便秘,须发早白
腰肌劳损,遗精
疮痈肿毒,感冒
赤白痢,瘰疬
出血,痈肿
水肿,小儿风疹
颈部肿胀,肿
丹毒,心烦失眠
风寒湿痹,关节疼痛
癫狂,尿频
健忘,经闭
咳嗽,口糜
右上腹包块,右
便血,疱疹
听力减退,退
产后腹痛,脘腹胀痛
惊痫,遗精
劳伤腰痛,水火烫伤
肺热喘咳,痄腮
眩晕,痈肿疮毒
臁疮,吐血
疔疮,流行性感冒
小便不利,偏头痛
四肢抽搐,咽喉肿痛
风寒湿痹,有经不调
不孕,疟疾
阳痿,蛇咬伤
麻疯,吐血
惊悸,经闭
骨折,头痛头晕
筋络不舒,风湿痹痛
顿咳,咽喉肿痛
带下,急性菌痢
疮痈肿毒,鹤膝风
血痢尿血,咽喉肿痛
妊娠瘙痒,娠
骨关节结核,毒蛇咬伤
毒蛇咬伤,蛇虫螫伤
全身浮肿,身
产后腹痛,带状疱疹
尿血,感冒发热
臁疮,无名肿毒
带下,尿闭
认知功能减退,减
毒蛇咬伤,瘀肿疼痛
吐血衄血,痈肿
耳出脓,耳
月经不调,体虚
喉痹,小便涩痛
跌打损伤,疗肿
脚气,咳血
妇女闭经,热淋
跌打损伤,钱骨梗喉
湿疹,小便涩痛
全身肌肉疼痛,疼
小便不通,便
瘰疬痰核,小儿疳积
二便不通,崩漏
疮毒,肺结核
水肿,津伤烦渴
风火牙痛,跌打伤痛
麻疹,痄腮
筋骨疼痛,风湿痹痛
产后无乳,后
十二指肠溃疡,小儿惊风
风疹,腰痛
湿热淋症,外伤出血
脚气,小便频数
月经不调,半身不遂
月经不调,小儿疳积
经闭,梅毒
水肿,小儿慢惊
全身皮肤硬,皮
阴疳,咽喉肿痛
肠痈,乳痈
泄泻,带下
大便不尽感,大
风湿痹痛,湿困胸闷
痢疾,疮疡肿
小便不禁,咯血
小儿口疮,咯血
剑突下疼痛不适,痛
肺虚咳嗽,跌打肿痛
咳嗽,腰肌劳损
右侧肢体水肿,体
烫伤,胎动不安
关节对称性活动受限,动
筋骨疼痛,风热感冒
产后血晕,烫火伤
水肿,目赤涩痛
目珠自胀,目
胃热呕呃,吐血
手足麻木,消渴
带下,麻疹不透
目翳,便秘
菌痢,热淋
水肿,皮肤湿痒
白带,胃出血
鼻衄,瘰疬
风湿关节疼痛,疮疖
风湿关节疼痛,淋浊
喘咳,疮疡
风湿痹痛,食少呕吐
左上肢发胀,上
吐血,痛经
金刃创伤,风湿痹痛
泻痢,破伤风
水火烫伤,虚劳咳嗽
咽喉肿痛,心悸气短
泄泻,阴痒
消化不良,肾虚腰痛
蛇虫咬伤,腰膝酸软
瘰疬,阴疽痿管
赤白带下,久泻
经行不止,经来不止
对称性多关节变形,变
水肿,热毒疮痈
汤火伤,痈疮肿毒
牙疳,疮疖
剑突下胀满不适,不
湿热黄疸,肝脾肿大
痈肿疮疖,痈疖肿毒
跌打损伤,骨痨
尿中砂石,中
风火牙痛,胃溃疡
疔疮,疮疡
骨折肿痛,腹泻
吐血,汤火烫伤
寒疝腹痛,疮疡
食积气滞,尿血
毒蛇咬伤,斑疹不透
肺痈,黄水疮
湿疹,休息痢
恶心呕吐,尿血
热毒痈肿,遗精
热结便秘,小便不利
烫火伤,肾虚腰痛
语言謇吃,吃
乳痈,血尿
面部包块,块
小便不利,排尿困难
跌打损伤,外痢脱肛
四肢无力,外伤出血
烫伤,胃出血
拘挛麻木,牙痛
脘腹疼痛,小便不利
癫狂,疮肿
风疹瘙痒,疮疖
食积气滞,消渴
膀胱结石,口疮
菌痢,血崩
白喉,疝气
经质黏稠,稠
脘腹胀痛,风疹瘙痒
四肢怕冷,四
跌打扭伤,疮肿
乳汁不通,咽痛
犬咬伤,咽喉肿痛
久咳,热淋
臁疮,跌打瘀肿
耳鸣,脱肛
蛇虫咬伤,翳障
膝酸,膝
风热咳嗽,黄疸
跌打瘀肿,痔漏
干呕,干
蛇虫咬伤,腰腿痛
烫火伤,皮肤湿疹
月经不调,湿毒疮疡
水肿,温毒发斑
痢疾,肺燥咳血
便血,白秃头疮
皮肤瘙痒,喉痹
下肢溃疡,疮疖
下肢水肿,肿
跌打损伤,寒湿伤中
跌打损伤,筋脉拘挛
水肿,痈疽肿痛
眩晕,疳积
疟疾,小儿高热
左半身麻木,左
毒蛇咬伤,实热便秘
牙痛,虫积
尿灼热感,尿道灼热感
鼻堵,鼻
腹痛,梅毒
鼻衄,小便淋浊
衄血,疳积
大便不通,感冒发热
双手静止性震颤,手不自主颤抖
胸闷,疟疾
遗精,口渴
遗精白浊,白
吐血,产后血瘀腹痛
骨折,上呼吸道感染
牙齿动摇,齿
健忘,疟疾
阴囊破溃渗出,阴
风湿痹痛,脾虚久泻
背部瘙痒,部
头痛,痔疮
心下支结,心
便血,小便不利
烧烫伤,口腔溃疡
大便不通,月经不调
水火烫伤,遗尿
惊风抽搐,吐血
湿疹,心悸
寒湿脚气,骨折
痈疽疮疡,风湿骨痛
风湿痹痛,癫狂惊痫
耳痛,吐血
体虚乏力,痛经
背部不适,背
劳伤咳嗽,咯血
耳聋,肺热咳嗽
风湿痹痛,湿痹
湿热,跌打损伤
麻疹,疹
劳伤腰痛,便血
小便有泡沫,小便泡沫
风湿痹痛,疳疮
风湿痹痛,缩阴冷痛
大便色泽改变,色
风寒湿痹,水肿
小便不利,霍乱吐泻
产后腹痛,烫火伤
食欲不振,纳少
胃痛,白秃
骶尾部溃破,骶
噎膈,跌打伤痛
咽疼,咽喉部疼痛
足关节肿胀,胀
经行腹痛,便血
跌打损伤,麻醉止痛
左侧肢体麻木感,左侧肢体发麻
水肿,子宫出血
痈肿,食积腹胀
腹胀便秘,乳痈
风湿关节痛,虫积腹痛
烧烫伤,湿热痢疾
痰中带血,痰
咳嗽气喘,疮肿
流行性感冒,哮喘
风热感冒,痈肿疮疡
痔疮,肺热咳嗽
骨折,脘痛
跌打损伤,湿热痢利
睾丸变硬,睾
尿血,小儿高热
身痒,周身痒
吞咽梗塞感,噎嗝不顺
骨蒸潮热,咳血
跌打损伤,吐乳
大便不通,带下
痈疽疮肿,痔疮
菌痢,肺热咳喘
跌打损伤,咳嗽吐血
腹痛,子宫脱垂
出血,淋证
跌打损伤,白带过多
石淋,肺结核
痢疾,鹅口疮
口噤,噤急
湿疹,肝肿大
跌打损伤,风湿麻木
瘫痪,瘫
痢疾,腰肌劳损
腰腿痛,小便淋痛
咽喉疼痛,蛇咬伤
背部晨僵,僵
内伤吐血,黄疸
高血压,肺结核
风湿痹痛,嗳气吞酸
肺痈,腰膝酸痛
厌食,纳呆
跌扑,跌
咳嗽气喘,痔疮
气血虚弱,咽喉肿痛
常下黄稠,跌打损伤
小儿疳积发热,月经不调
崩漏,咳喘痰多
盗汗,腹痛
疮疡疖肿,风热感冒
风湿痹痛,咳喘多痰
劳伤腰痛,崩漏
劳热,外伤出血
肠痈,梅毒
毒蛇咬伤,痰饮咳喘
跌打瘀肿,乳痈
菌痢,咳嗽
月经不调,喘咳
烫伤,呕逆
热毒疮疡,鼻衄
跌打损伤,胁下痞块
带下量多,多
痈肿,腰痛
牙齿痛,痛
痢疾,心绞痛
语言蹇涩,言謇
口臭,肺热咳嗽
伤风感冒,黄疸
二便不通,腹痛
跌打肿痛,咳喘
腰膝冷痛,冷
眼睑水肿,肿
鼻衄,感冒发热
霍乱,脘腹冷痛
劳伤,疮痈肿毒
咽痛,咽
风疹,小便淋涩
汗斑,小便不利
呕吐,无名肿毒
蛇伤,淋浊
血虚萎黄,消渴
恶露味臭,臭
神经性头痛,毒蛇咬伤
经闭,咽喉肿痛
闭经,阴虚发热
腹泻,消渴
小儿风疹,儿
腋下狐臭,跌打损伤
停痰积聚,毒蛇咬伤
丹毒,痈疽
风火牙痛,便血
声音嘶哑,咽喉肿痛
跌打损伤,热甚昏迷
劳伤腰痛,疮疖肿毒
冷痢,咽喉肿痛
皮肤瘙痒,胃痛
跌打损伤,半身不遂初起
崩中漏下,肺热咳嗽
月经不调,抽搐拘挛
赤白带下,神经衰弱
小儿疳积,泄痢
脾虚泄泻,咽喉肿痛
惊风癫痫,毒蛇咬伤
外伤出血,雀目
久痢,跌打骨折
言语不流利,结巴
脚气浮肿,目赤肿痛
风湿痹痛,久虐
产后瘀滞腹痛,高血压
睑弦赤烂,烂
痢疾,虾蟆瘟
周身乏力,乏力
湿热黄疸,久泻久痢
胎衣不出,胞衣不出
胸闷腹胀,咽喉肿痛
风湿痹痛,血热风痒
精液自出,精
血崩,喉痹
头部疼痛,痛
疮痈肿毒,跌打骨折
咳嗽气喘,胎动不安
崩漏,寒湿痹痛
吐血,短气喘促
四肢麻木,湿疹
咳嗽,热毒疮疖
疹出不畅,肺热咳嗽
疮疡疖肿,烫火伤
跌打损伤,蜈蚣咬伤
眼底出血,便血
狐臭,痈肿疮毒
痔疮出血,石淋
骨节酸痛,目赤肿痛
青盲内障,毒蛇咬伤
泄泻,脾胃气虚
跌打损伤,妊娠下痢
痢疾,胃痛吐泻
胃溃疡,肺结核
风湿痹痛,白浊血尿
全身皮肤鳞屑,全
跌打损伤,干咳无痰
疮肿,咳喘痰多
胃痛,胎漏下血
湿热黄疸,水痘
带下,口干
痛经,风湿感冒
背部皮肤皮疹,部
上腹胀满,腹
吐血,暑湿下痢
咯血,中风痰壅
便血,脚气水肿
面色萎黄,黄
筋脉拘挛,消渴
疟疾,虚劳咳嗽
背部针刺感,感
水肿,耳痈
热毒血痢,风湿痹痛
蛇虫咬伤,肠风下血
水肿,胸痛
口周麻木,麻
眩晕,健忘
痢疾,荨麻诊
经水断续,断
耳聋,热淋
麻疹透发不畅,痈疽肿毒
腹泻,咽喉疼痛
暑湿泄泻,外伤出血
左侧肢体偏身乏力,侧
风湿痹痛,半身不遂疮疡肿毒
崩漏,女子宫寒不孕
全身发抖,抖
疮疡肿毒,寒疝疼痛
盗汗,喉痹
崩漏,品舌出疮
水肿,外咳气喘
肺虚咳嗽,失眠
内外伤出血,外伤出血
跌打损伤,疯狗咬伤
冻疮,湿疹
崩漏,肾虚
臀部皮肤溃破,皮
跌打损伤,急性湿疹
腹中灼热,腹
蛇虫咬伤,金疮
食停上脘,水肿
风湿痛,白浊
月经不调,食积气滞
潮热盗汗,尿血
风寒湿痹,风寒咳嗽
坐而俯首,俯
吐血,劳热骨蒸
食积不化,蛇咬伤
咽喉肿痛,风湿关节肿痛
痢疾,水肿膨胀
咳嗽痰多,虚劳咳嗽
小便淋涩,肺痈
风寒湿痹,蛇伤
心前区紧缩感,心前区紧
肢体麻木,烫伤
疮疡肿毒,皮肤溃疡
风湿痹痛,肝胆湿热
跌打损伤,产后瘀阻
风湿痹痛,风湿骨痹
腰扭伤,感冒发热
痢疾,风寒温痹
高血压,肺热咳喘
肝热目赤,感冒
咽喉肿痛,喉嗽
骨折,白带过多
跌打损伤,乳痈肿痛
白带,血虚萎黄
小儿疝气,小便不利
赤白带下,疮疡
痢疾,痈肿瘰疬
月经不调,筋骨折伤
头痛,烧烫伤
股部红肿,部
风湿痹痛,风温初起
腹部肿物,腹
疮疖肿毒,痈疽疔疮
疖肿,疔疮肿毒
小便淋涩,泄泻
多饮,饮
腰臀部疱疹,疹
赤白带下,头痛
头痛,痈肿疔疮
疝气痛,水火烫伤
背疼痛,后背部疼痛
痈肿疮毒,痈疽发背
寒痰哮喘,肺热咳嗽
疝气疼痛,外伤出血
咽喉肿痛,小儿胎毒
经来不止,止
健忘,百日咳
踝关节疼痛,关
手不能持物,物
四肢不仁,仁
足背肿胀,背
内伤吐血,目赤肿痛
胸胁疼痛,感冒
筋骨酸痛,骨
腰膝酸冷,肺热咳嗽
小儿高热惊风,吐血
跌打损伤,胀满
商热神昏,风湿痹痛
月经不调,烧伤
丹毒,肺虚咳嗽
水肿,阳痿
带下,妇女经闭
骨折,风湿关节肿痛
四肢运动不灵活,四肢运动障碍
四肢体活动不能,体
月经不调,头风
骨折,烂弦风眼
癫狂,瘰疬
崩漏,急性菌痢
外伤出血,阴虚肺劳
疔疮,胃溃疡
结石,外伤出血
烧烫伤,小儿发热
语言不能,表达性失语
流感发热,咽喉肿痛
消渴,痈疮肿毒
跌打损伤,出血不止
倦怠,咽喉肿痛
左侧肢体活动不灵,左侧肢体活动不利
疮疡肿肿毒,外伤出血
虚劳赢瘦,脾胃虚弱
烦热,毒蛇咬伤
腰腿疼痛,目赤肿痛
痈疖肿毒,脘腹冷痛
胃痛,痈疮疔疖
不孕,孕
肛门坠重,肛门坠胀
疔疮,肺虚咳嗽
跌打损伤,烦燥不眠
下肢溃疡,目赤肿痛
胃脘痛,蛇伤
水火烫伤,痛经
痰多,咽喉肿痛
小便赤涩,赤
痧气腹痛,跌打肿痛
痢疾,小儿惊风
痢疾,百日咳
风眼烂弦,黄疸
小儿慢惊,瘰疬
风寒湿痹,产后瘀阻腹痛
漆疮,百日咳
颈部酸胀感,胀
耳后疼痛,痛
牙龈肿痛,感冒咳嗽
胃痛,脘腹冷痛
疔疮肿毒,遗尿
肛门灼热,热
小便不利,心悸不安
头晕,热淋
赤白外痢,咽喉肿痛
关节对称性活动受限,性
心烦不眠,痛经
感冒咳嗽,痛经
耳衄,耳
脾虚泄泻,小便不利
腹胀满,胀
跌打损伤,静脉曲张
痢疾,热热毒血痢
心嘈,胃脘部嘈杂不适
血滞经闭,痛经
腹泻,小便涩痛
肝硬化腹水,喉痹
湿疹,痈疮肿毒
汗斑,衄血
尿路感染,口疮
右侧肢体麻木,肢
痢疾,感冒发热头痛
难产,牙痛
风痰眩晕,咽喉肿痛
吐酸,吐
羞明畏日,明
劳伤疼痛,痈疽肿毒
胃痛,瘰疬
跌打损伤,腮腺火
瘰疬,胃寒腹痛
麻疹透发不畅,乳痈
尿路感染,咽喉痛
寒喘,湿疹
赤白带下,淋浊
泻痢,经闭
闭经,瘰疬结核
痢疾,小儿内钓
左侧肢体活动不利,左侧肢体不灵活
癫痫,疳积
疟疾,疔疮疖肿
湿热泻痢,咽痛
丹毒,创伤出血
妇女白带,咳血
泻痢,水火烫伤
中暑伤冷,水肿
产后腹痛,咽喉疼痛
风痹,痹
皮肤肿块,皮
腰扭伤,骨折
水肿,表证夹湿
烫伤,霍乱
右侧肢体不自主运动,肢
阴囊痛,痛
泄泻,早泄
心中澹澹大动,中
吐血,咽喉疼痛
肘部活动不利,活
胃痛,热毒疮痈
月经后期,过期经行
风湿痹痛,食滞腹痛
无排气,气
形体虚弱,形
脚气,风疹瘙痒
湿疮肿毒,咽喉肿痛
风湿痹痛,手脚麻木
胃痛,外感风热
小儿疳积,气虚乏力
风湿痹痛,产后寒热腹痛
疮疖肿毒,湿疹
鼻渊,咯血
风湿痹痛,子宫不收
发热,外伤出血
衄血,水肿臌胀
水肿,妇人血滞经闭
疮痈,创伤出血
乳痈,久痢
跌打损伤,淋浊带下
下肢溃疡,感冒
咳嗽,犬咬伤
牙痛,疮疖
风疹,白带
胸前区疼痛不适,适
骨折,虚劳咳嗽
胁肋胀痛,痛
眼底出血,小便不利
咳嗽,肺结核咯血
身痒,外伤出血
小儿疳积,鹅口疮
骨折,胸腹胀痛
项背拘急,拘
尿混浊,小便浑浊
心悸失眠,咳嗽
皮肤瘙痒,毒虫咬伤
呕吐,咽痛
便血,目赤翳障
耳鸣,尿频
湿热黄疸,咽喉红肿
署湿泄泻,瘰疬
寒疝腹痛,小便不利
结巴,言语不清晰
痢疾,肺痈
疮疡肿毒,风火赤眼
头痛,中风痰壅
喉痛,黄疸
阴痒,疮痈肿毒
痰量增多,量
湿疹,阴道滴虫
风湿痹痛,产后流血过多
自汗,盗汗
水肿,项下气瘿
肝热目赤,跌打伤痛
疹,疟疾
扭挫伤,痛经
月经不调,眦烂多泪
泻痢,久泻久痢
痢疾,高脂血症
四肢软弱,软
冻疮,失眠
月经不调,体虚乏力
吐血,默黑
胃脘痛,四肢麻木
白喉,跌打肿痛
青盲,外伤出血
鹅掌风,外伤出血
寒热头痛,牙痛
鼻衄,心腹疼痛
痈肿疮毒,金疮
崩漏,痔漏下血
四肢不仁,四
小儿热惊,外伤出血
跌打损伤,乏力食少
产后瘀阻腹痛,口疮
脘腹疼痛,脘腹胀痛
下肢溃疡,衄血
跌打瘀痛,脘腹疼痛
胃痛,汤火伤
骨折,肌肤麻木
跌打瘀肿,风湿痹痛
痢疾,呼吸道感染
肿毒,肺热咳嗽
产后恶露不净,吐血
闭经,麻风
上肢震颤,肢
拘挛麻木,带下
风寒湿痹,月经过多
跌打损伤,感冒发烧
痈肿疔疖,外伤出血
下肢不自主震颤,自
行为障碍,碍
骨折,内伤吐血
久泻久痢,外伤出血
痢疾,痘毒
风湿麻木,痔疮
泌尿系感染,衄血
湿疹,扭伤
劳伤脱力,衄血
四肢肌肉无力,肌
目赤肿痛,喉痛
疝气,跌打伤痛
皮肤干燥,黄疸
关节疼痛,血崩
骨折,气滞胃痛
肺热喘咳,脘腹冷痛
便血,感冒高热
胃痛,小儿麻痹症后遗症
月经不调,目生翳障
瘰疬,脘腹胀痛
妊娠尿痛,娠
大汗出,大
带下,尿血
痈肿疮毒,创伤出血
疔疮,产后腹痛
咽肿,肺热咳嗽
左下腹疼痛不适,疼
胃脘部空虚感,胃
崩漏,跌打肿痛
咽痛喉痹,咽喉肿痛
咽喉肿痛,脘腹冷痛
肿疡,咽喉肿痛
风湿痹痛,疮肿湿毒
易惊,喜惊
风疹,疮疖痈肿
产后胁痛,胁
月经不调,胸胁胀痛
风热感冒,淋浊带下
烦躁胸闷,衄血
吐血,遗精滑泄
胃脘痛,脚气
痢疾,肾虚耳鸣
带状疱疹,跌打肿痛
胸闷纳呆,黄疸
小便淋涩,小儿疳积
饮食积滞,湿疹
脾虚泄泻,脘腹胀痛
疔疮痈肿,便血
赤白带下,高热
消渴,腰肌劳损
带状疱疹,高热
水肿,风热表证
痈肿疮疖,热痢
阳痿早泄,瘰疬
疮疡肿毒,痈肿瘰疬
痔瘘,风热感冒
心前区灼热,前
腰腿酸痛,瘰疬
神志不清,神志恍惚
半身不遂,肺热咳嗽
烫伤,食少便溏
带下,休息痢
杂色带,带
智力下降,下
跌打伤肿,痈肿
跌打损伤,颈淋巴结肿
足膝痛,膝
毒蛇咬伤,赤眼
风寒湿痹,皮肤皲裂
血崩,黄水疮
疔疮肿毒,咳嗽痰多
头沉,沉
泄泻,黄水疮
跌打瘀痛,肠痈
崩漏,便秘腹胀
寒疝疼痛,血淋
肺脓肿,咽喉肿痛
风热咳嗽,咳血
小儿惊风,痔瘘
风寒感冒,外感风寒
脘腹胀闷,闷
疟疾,血尿
发热咳嗽,水肿
痔血,尿频
腹水,外伤出血
骨蒸潮热,吐血
智力下降,智
喉痛,疟疾
暑热烦渴,百日咳
无名肿毒,小便淋痛
痔血,痔漏
疔疮,乳痈
呕吐,疔疮痈肿
疔疮,寒疝疼痛
月经不调,吐衄
蛇咬伤,溃疡
伤口久不愈合,咽喉肿痛
闭经,食积腹胀
风湿痹痛,肝阳头痛
骨关节结核,风湿痹痛
全身脱屑,身
风湿痹痛,肺结核咳血
风湿痹痛,消渴淋浊
脾肾虚寒,瘰疬
喜梦,梦
惊悸失眠,带下
下肢静脉曲张,静
眩晕,食积
尿血,烫火伤
风湿痹痛,气虚无力
疮疡肿痈,跌打损伤
湿热黄疸,腹水
跌打瘀肿,喘咳
经闭,翳障
龌齿,咽喉肿痛
目赤肿痛,痈疽疮毒
惊悸失眠,衄血
扭挫伤,外伤出血
泄泻,胆结石
手臂不仁,臂
腰腿酸痛,外伤出血
痢疾,肾虚
腿肿痛,腿
宫寒不孕,痢疾
但寒不热,但
语声低微,低
神经痛,小便不利
跌打损伤,湿脚气
腋汗,汗
左腹部疼痛,痛
胃脘痛,癫狂
疔疮,中暑
痈肿疔疮,毒蛇咬伤
湿热泻痢,疳积
皮肤瘙痒,产后恶露不尽
痢疾,瘰疬
眼眉跳,眉
肠风便血,月经过多
跌打损伤,头风眩晕
呕吐,心悸
疝气,高热
牙痛,胃阴不足
手足麻木,肺痈
二便不通,外伤出血
跌打损伤,阴疽痰核
虚劳久嗽,风湿痹痛
咽喉肿痛,夜不安寐
肾虚阳痿,热淋
颈部堵塞感,堵
跌打瘀肿,腹泻
痢疾,湿疮湿疹
泄泻,痹证
自汗盗汗,瘰疬
右上腹疼痛,右上腹疼痛不适
鼻痔,鼻梃
皮肤瘙痒,咳血
大便秘结,淋证
腰膝酸软,咽痛
月经不调,痈肿恶疮
跌打损伤,痘疹透发不起
腰腿痛,疮痈肿毒
跌打损伤,风湿腰痛
痢疾,风热目赤肿痛
下肢活动不利,利
跌打损伤,胸背疼痛
胃痛,梅核气
剑突下胀满,下
咳嗽,齿龈出血
头晕,尿频
小便淋浊,痈疽肿毒
风寒湿痹,感冒
惊悸,咽喉肿痛
臀部痈肿,肿
风寒湿痹,睾丸肿痛
泄泻,腹胀便秘
小儿惊风,蛇咬伤
咽喉肿痛,肾水肿
言语迟钝,语
痈肿,跌扑损伤
毒蛇咬伤,食滞
痈肿,痈肿疮毒
小便不利,肺热咳嗽
高热惊风,月经不调
痛有定处,定
湿疹,劳伤咳嗽
跌打损伤,疮毒溃烂久不收口
骨折,跌打扭伤
风寒咳嗽,痛经
月经不调,阴蚀
体温升高,发热
疮疖痈肿,疮毒
痢疾,惊悸失眠
咳嗽气喘,腰肌劳损
黄疸,久泻
痢疾,潮热
虚弱头晕,外伤出血
四肢颤动,颤
肌肤麻木,脘腹冷痛
血崩,感冒头痛
热痹,黄疸
下颌不自主震颤,颌
疮疖溃疡,外伤出血
水肿,手足皲裂
痢疾,腰胁疼痛
烫伤,小儿疳积
食积腹痛,毒蛇咬伤
血瘀经闭,咯血
子宫脱垂,阴挺下脱
眩晕,跌打肿痛
小便不利,利
酒（查皮）鼻,毒蛇咬伤
倦怠无力,力
疝痛,毒蛇咬伤
牙齿疼痛,齿
泄泻,流行性感冒
热毒痈肿,烫火伤
高热,目赤
上胞下垂,垂
风湿关节痛,头风
泻下痢疾,风湿痹痛
痈肿疔疮,湿热泻痢
感冒,跌打伤痛
咳喘,外伤出血
痢疾,痈肿总人口毒
腰膝酸软,咽喉疼痛
跌打损伤,偏头风
青盲翳障,咽喉肿痛
痈疽肿毒,腹痛泄泻
瘫痪,风湿痹痛
足脱皮,脱
痈肿,食少
外伤肿胀,外伤出血
风湿痹痛,吞酸
腰肌劳损,痛经
痈肿疮毒,肠道寄生虫
经期缩短,短
右下腹胀满,胀
湿疹,头痛眩晕
烧伤,痔疮出血
疝气痛,小儿疳积
肛门脱出,脱
痢疾,小腹疼痛
目赤肿痛翳障,吐血
吐血,皮疹
痢疾,瘰疠
腹胀痛,痛
咯血,风湿热痹
冻疮,疮疡
月经不调,疔毒
跌打损伤,普中带血
痢疾,酸软乏力
疮疡肿毒,缠腰火丹
泻痢,咳喘
四肢麻木,恶疮
吐血,再生障碍性贫血
尿血,肠风下血
淋证,疔毒
阴纵不收,阴
呼吸道感染,黄疸
脾虚乏力,痛经
善喜,喜
闭经,咳嗽痰多
黄疽,便血
皮肤脱屑,脱
淋证,肾虚腰痛
汤火灼伤,外伤出血
高血压,痈疽肿毒
左侧肢体偏身麻木,左
下肢痒,痒
跌打损伤瘀痛,咽喉肿痛
骨折,肾虚腰痛
痢疾,头痛身痛
腰肌劳损,麻疹
便血,腹痛下痢
咳嗽,皮肤湿痒
产后发热,热
骨折损伤,吐血
吞咽障碍,碍
腹中冷痛,风湿痹痛
感冒,高热
错语,错
上热下寒,毒蛇咬伤
水肿,汤火烫伤
睾丸肿痛,咽喉肿痛
咽喉肿痛,头晕乏力
半身不遂,尿血
风火牙痛,脘腹疼痛
痢疾,温毒发斑
虚热烦渴,遗精
惊痫,消化不良
风湿骨痛,腹胀
妊娠呕吐,跌打肿痛
阴虚咳嗽,外伤出血
乳痛,疮疡
骨结核,咯血
流感,疟疾
风湿疼痛,风湿腰痛
不语,语
手出血,手
采膝酸软,风湿痹痛
风湿痹痛,瘘症
痔疮出血,食积
寒疝疼痛,咯血
小儿疳积,小便短赤
百日咏,咽喉肿痛
目赤肿痛,胸腹胀满
跌打损伤,尿血
跌打损伤,崩中漏下
不自主流涎,主
丹毒,筋脉拘挛
风湿痹痛,感冒无汗
皮肤瘙痒,目赤肿痛
感冒,疮疡肿痛
湿疹,肺势咳嗽
丹毒,二便不通
血崩,胎动不安
丹毒,热毒疮肿
眩晕,消渴
痢疾,泻痢下重
眼生翳障,翳
毒蛇咬伤,皮肤湿疮
泄泻,热结便秘
目赤,疟疾
风寒感昌,跌打损伤
宫冷不孕,瘰疬
停止排气,排
胃痛,气闭耳聋
食欲不振,健忘
跌打损伤,肾虚耳鸣
尿血,痔疮
急性肾火,咽喉肿痛
风寒湿痹,尿路感染
疮疡肿毒,痄腮
食滞腹胀,痛经
风热咳嗽,疮疡
腹胀大,腹部胀大不适
跌打损伤,月经汪调
右侧肢体麻木不适,木
口腔溃疡,目赤肿痛
吐血,麻醉止痛
风湿关节痛,淋证
痢疾,痈疽等症
外用力出血,吐血
带下,胸闷
湿热黄疸,肺虚咳嗽
脾胃虚弱,肠风下血
流感发烧,毒蛇咬伤
头部皮肤破溃,皮
